<meta message track_name name='Sound 2' time=0>
<meta message instrument_name name='None' time=0>
note_off channel=0 note=54 velocity=64 time=144
note_on channel=0 note=57 velocity=80 time=16
note_off channel=0 note=57 velocity=64 time=144
note_on channel=0 note=62 velocity=80 time=16
note_off channel=0 note=62 velocity=64 time=144
note_on channel=0 note=57 velocity=80 time=16
note_off channel=0 note=57 velocity=64 time=144
note_on channel=0 note=54 velocity=80 time=16
note_off channel=0 note=54 velocity=64 time=144
note_on channel=0 note=50 velocity=80 time=16
note_off channel=0 note=50 velocity=64 time=144
note_on channel=0 note=55 velocity=80 time=16
note_on channel=0 note=43 velocity=80 time=0
note_off channel=0 note=55 velocity=64 time=216
note_off channel=0 note=43 velocity=64 time=0
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_on channel=0 note=43 velocity=80 time=0
note_off channel=0 note=55 velocity=64 time=216
note_off channel=0 note=43 velocity=64 time=0
note_on channel=0 note=53 velocity=80 time=24
note_on channel=0 note=41 velocity=80 time=0
note_off channel=0 note=53 velocity=64 time=216
note_off channel=0 note=41 velocity=64 time=0
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_on channel=0 note=41 velocity=80 time=0
note_off channel=0 note=53 velocity=64 time=216
note_off channel=0 note=41 velocity=64 time=0
note_on channel=0 note=51 velocity=80 time=24
note_on channel=0 note=39 velocity=80 time=0
note_off channel=0 note=51 velocity=64 time=216
note_off channel=0 note=39 velocity=64 time=0
note_on channel=0 note=46 velocity=80 time=24
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=46 velocity=80 time=24
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_on channel=0 note=39 velocity=80 time=0
note_off channel=0 note=51 velocity=64 time=216
note_off channel=0 note=39 velocity=64 time=0
control_change channel=0 control=7 value=100 time=14
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=7 value=100 time=0
<meta message key_signature key='C' time=10>
note_on channel=0 note=38 velocity=80 time=0
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=38 velocity=80 time=24
note_on channel=0 note=45 velocity=80 time=0
note_on channel=0 note=50 velocity=80 time=0
note_off channel=0 note=38 velocity=64 time=216
note_off channel=0 note=45 velocity=64 time=0
note_off channel=0 note=50 velocity=64 time=0
note_on channel=0 note=40 velocity=80 time=24
note_on channel=0 note=47 velocity=80 time=0
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=40 velocity=64 time=216
note_off channel=0 note=47 velocity=64 time=0
note_off channel=0 note=52 velocity=64 time=0
note_on channel=0 note=40 velocity=80 time=24
note_on channel=0 note=47 velocity=80 time=0
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=40 velocity=64 time=216
note_off channel=0 note=47 velocity=64 time=0
note_off channel=0 note=52 velocity=64 time=0
note_on channel=0 note=40 velocity=80 time=24
note_on channel=0 note=47 velocity=80 time=0
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=40 velocity=64 time=216
note_off channel=0 note=47 velocity=64 time=0
note_off channel=0 note=52 velocity=64 time=0
note_on channel=0 note=40 velocity=80 time=24
note_on channel=0 note=47 velocity=80 time=0
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=40 velocity=64 time=216
note_off channel=0 note=47 velocity=64 time=0
note_off channel=0 note=52 velocity=64 time=0
note_on channel=0 note=40 velocity=80 time=24
note_on channel=0 note=47 velocity=80 time=0
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=40 velocity=64 time=216
note_off channel=0 note=47 velocity=64 time=0
note_off channel=0 note=52 velocity=64 time=0
note_on channel=0 note=40 velocity=80 time=24
note_on channel=0 note=47 velocity=80 time=0
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=40 velocity=64 time=216
note_off channel=0 note=47 velocity=64 time=0
note_off channel=0 note=52 velocity=64 time=0
note_on channel=0 note=40 velocity=80 time=24
note_on channel=0 note=47 velocity=80 time=0
note_on channel=0 note=52 velocity=80 time=0
note_off channel=0 note=40 velocity=64 time=1296
note_off channel=0 note=47 velocity=64 time=0
note_off channel=0 note=52 velocity=64 time=0
note_on channel=0 note=41 velocity=80 time=144
note_off channel=0 note=41 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=648
note_on channel=0 note=43 velocity=80 time=72
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=648
note_on channel=0 note=45 velocity=80 time=72
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=43 velocity=80 time=48
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=648
note_on channel=0 note=41 velocity=80 time=72
note_off channel=0 note=41 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=43 velocity=80 time=24
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=648
note_on channel=0 note=40 velocity=80 time=72
note_off channel=0 note=40 velocity=64 time=216
note_on channel=0 note=47 velocity=80 time=24
note_off channel=0 note=47 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=432
note_on channel=0 note=45 velocity=80 time=48
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=43 velocity=80 time=264
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=43 velocity=64 time=216
note_off channel=0 note=55 velocity=64 time=0
note_on channel=0 note=41 velocity=80 time=264
note_on channel=0 note=53 velocity=80 time=0
note_off channel=0 note=41 velocity=64 time=216
note_off channel=0 note=53 velocity=64 time=0
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=648
note_on channel=0 note=43 velocity=80 time=72
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=432
note_on channel=0 note=45 velocity=80 time=48
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=432
note_on channel=0 note=43 velocity=80 time=48
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=648
note_on channel=0 note=41 velocity=80 time=72
note_off channel=0 note=41 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=43 velocity=80 time=48
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=432
note_on channel=0 note=45 velocity=80 time=48
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=52 velocity=80 time=24
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=648
note_on channel=0 note=45 velocity=80 time=72
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=69 velocity=80 time=24
note_off channel=0 note=69 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=1296
note_on channel=0 note=67 velocity=80 time=144
note_off channel=0 note=67 velocity=64 time=1296
note_on channel=0 note=57 velocity=80 time=144
note_off channel=0 note=57 velocity=64 time=1296
note_on channel=0 note=55 velocity=80 time=144
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=64 velocity=80 time=24
note_off channel=0 note=64 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=960
note_on channel=0 note=65 velocity=80 time=0
note_off channel=0 note=65 velocity=64 time=1296
note_on channel=0 note=67 velocity=80 time=144
note_off channel=0 note=67 velocity=64 time=1296
control_change channel=0 control=7 value=90 time=134
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
control_change channel=0 control=7 value=90 time=0
note_on channel=0 note=33 velocity=80 time=10
note_on channel=0 note=45 velocity=80 time=0
note_off channel=0 note=33 velocity=64 time=432
note_off channel=0 note=45 velocity=64 time=0
note_on channel=0 note=52 velocity=80 time=48
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=57 velocity=80 time=24
note_off channel=0 note=57 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=43 velocity=80 time=48
note_on channel=0 note=55 velocity=80 time=0
note_off channel=0 note=43 velocity=64 time=432
note_off channel=0 note=55 velocity=64 time=0
note_on channel=0 note=52 velocity=80 time=48
note_off channel=0 note=52 velocity=64 time=216
note_on channel=0 note=41 velocity=80 time=24
note_off channel=0 note=41 velocity=64 time=432
<meta message key_signature key='Db' time=528>
note_on channel=0 note=42 velocity=80 time=0
note_off channel=0 note=42 velocity=64 time=216
note_on channel=0 note=49 velocity=80 time=24
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=42 velocity=80 time=48
note_off channel=0 note=42 velocity=64 time=216
note_on channel=0 note=49 velocity=80 time=24
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=648
note_on channel=0 note=56 velocity=80 time=72
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=41 velocity=80 time=24
note_off channel=0 note=41 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=46 velocity=80 time=24
note_off channel=0 note=46 velocity=64 time=108
note_on channel=0 note=48 velocity=80 time=12
note_off channel=0 note=48 velocity=64 time=108
note_on channel=0 note=49 velocity=80 time=12
note_off channel=0 note=49 velocity=64 time=108
note_on channel=0 note=51 velocity=80 time=12
note_off channel=0 note=51 velocity=64 time=108
note_on channel=0 note=53 velocity=80 time=12
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=42 velocity=80 time=24
note_off channel=0 note=42 velocity=64 time=216
note_on channel=0 note=49 velocity=80 time=24
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=432
note_on channel=0 note=56 velocity=80 time=48
note_on channel=0 note=51 velocity=80 time=0
note_on channel=0 note=44 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=216
note_off channel=0 note=51 velocity=64 time=0
note_off channel=0 note=44 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=744
note_on channel=0 note=51 velocity=80 time=0
note_on channel=0 note=44 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=432
note_off channel=0 note=51 velocity=64 time=0
note_off channel=0 note=44 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=48
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=46 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=432
note_off channel=0 note=53 velocity=64 time=0
note_off channel=0 note=46 velocity=64 time=0
note_on channel=0 note=53 velocity=80 time=48
note_on channel=0 note=46 velocity=80 time=0
note_off channel=0 note=53 velocity=64 time=216
note_off channel=0 note=46 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=24
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=46 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=216
note_off channel=0 note=53 velocity=64 time=0
note_off channel=0 note=46 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=504
note_on channel=0 note=51 velocity=80 time=0
note_on channel=0 note=44 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=216
note_off channel=0 note=51 velocity=64 time=0
note_off channel=0 note=44 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=24
note_on channel=0 note=51 velocity=80 time=0
note_on channel=0 note=44 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=216
note_off channel=0 note=51 velocity=64 time=0
note_off channel=0 note=44 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=264
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_on channel=0 note=44 velocity=80 time=0
note_off channel=0 note=51 velocity=64 time=216
note_off channel=0 note=44 velocity=64 time=0
note_on channel=0 note=42 velocity=80 time=264
note_on channel=0 note=49 velocity=80 time=0
note_on channel=0 note=54 velocity=80 time=0
note_off channel=0 note=42 velocity=64 time=648
note_off channel=0 note=49 velocity=64 time=0
note_off channel=0 note=54 velocity=64 time=0
note_on channel=0 note=54 velocity=80 time=72
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=42 velocity=80 time=24
note_on channel=0 note=49 velocity=80 time=0
note_off channel=0 note=42 velocity=64 time=432
note_off channel=0 note=49 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=48
note_on channel=0 note=51 velocity=80 time=0
note_on channel=0 note=44 velocity=80 time=0
note_off channel=0 note=56 velocity=64 time=648
note_off channel=0 note=51 velocity=64 time=0
note_off channel=0 note=44 velocity=64 time=0
note_on channel=0 note=56 velocity=80 time=72
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=44 velocity=80 time=24
note_on channel=0 note=51 velocity=80 time=0
note_off channel=0 note=44 velocity=64 time=432
note_off channel=0 note=51 velocity=64 time=0
note_on channel=0 note=58 velocity=80 time=48
note_on channel=0 note=53 velocity=80 time=0
note_on channel=0 note=46 velocity=80 time=0
note_off channel=0 note=58 velocity=64 time=1296
note_off channel=0 note=53 velocity=64 time=0
note_off channel=0 note=46 velocity=64 time=0
note_on channel=0 note=61 velocity=80 time=144
note_off channel=0 note=61 velocity=64 time=432
note_on channel=0 note=60 velocity=80 time=48
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=648
note_on channel=0 note=54 velocity=80 time=72
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=66 velocity=80 time=24
note_off channel=0 note=66 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=648
note_on channel=0 note=56 velocity=80 time=72
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=72 velocity=80 time=24
note_off channel=0 note=72 velocity=64 time=648
note_on channel=0 note=46 velocity=80 time=72
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=648
note_on channel=0 note=53 velocity=80 time=72
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=72 velocity=80 time=24
note_off channel=0 note=72 velocity=64 time=432
note_on channel=0 note=54 velocity=80 time=48
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=216
note_on channel=0 note=66 velocity=80 time=24
note_off channel=0 note=66 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=648
note_on channel=0 note=56 velocity=80 time=72
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=68 velocity=80 time=48
note_off channel=0 note=68 velocity=64 time=648
note_on channel=0 note=53 velocity=80 time=72
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=63 velocity=80 time=48
note_off channel=0 note=63 velocity=64 time=648
note_on channel=0 note=58 velocity=80 time=72
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=432
note_on channel=0 note=65 velocity=80 time=48
note_off channel=0 note=65 velocity=64 time=648
note_on channel=0 note=42 velocity=80 time=72
note_off channel=0 note=42 velocity=64 time=216
note_on channel=0 note=49 velocity=80 time=24
note_off channel=0 note=49 velocity=64 time=216
note_on channel=0 note=54 velocity=80 time=24
note_off channel=0 note=54 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=61 velocity=80 time=24
note_off channel=0 note=61 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
